"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS4_100","PUBLISHED","2000","AMR","JAM","93","93.00000","","","","",""
"WHS4_100","PUBLISHED","2001","AMR","JAM","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2002","AMR","JAM","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2003","AMR","JAM","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2004","AMR","JAM","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2005","AMR","JAM","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2006","AMR","JAM","95","95.00000","","","","",""
"WHS4_100","PUBLISHED","2007","AMR","JAM","92","92.00000","","","","",""
"WHS4_100","PUBLISHED","2008","AMR","JAM","91","91.00000","","","","",""
"WHS4_100","PUBLISHED","2009","AMR","JAM","90","90.00000","","","","",""
"WHS4_100","PUBLISHED","2010","AMR","JAM","94","94.00000","","","","",""
"WHS4_100","PUBLISHED","2011","AMR","JAM","92","92.00000","","","","",""
"WHS4_100","PUBLISHED","2012","AMR","JAM","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2013","AMR","JAM","93","93.00000","","","","",""
"WHS4_100","PUBLISHED","2014","AMR","JAM","92","92.00000","","","","",""
"WHS4_100","PUBLISHED","2015","AMR","JAM","91","91.00000","","","","",""
"WHS4_100","PUBLISHED","2016","AMR","JAM","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2017","AMR","JAM","93","93.00000","","","","",""
"WHS4_100","PUBLISHED","2018","AMR","JAM","97","97.00000","","","","",""
"WHS4_100","PUBLISHED","2019","AMR","JAM","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2020","AMR","JAM","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2021","AMR","JAM","90","90.00000","","","","",""
"WHS4_100","PUBLISHED","2022","AMR","JAM","98","98.00000","","","","",""
