"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS4_100","PUBLISHED","2000","AMR","NIC","83","83.00000","","","","",""
"WHS4_100","PUBLISHED","2001","AMR","NIC","87","87.00000","","","","",""
"WHS4_100","PUBLISHED","2002","AMR","NIC","85","85.00000","","","","",""
"WHS4_100","PUBLISHED","2003","AMR","NIC","86","86.00000","","","","",""
"WHS4_100","PUBLISHED","2004","AMR","NIC","79","79.00000","","","","",""
"WHS4_100","PUBLISHED","2005","AMR","NIC","86","86.00000","","","","",""
"WHS4_100","PUBLISHED","2006","AMR","NIC","88","88.00000","","","","",""
"WHS4_100","PUBLISHED","2007","AMR","NIC","93","93.00000","","","","",""
"WHS4_100","PUBLISHED","2008","AMR","NIC","97","97.00000","","","","",""
"WHS4_100","PUBLISHED","2009","AMR","NIC","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2010","AMR","NIC","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2011","AMR","NIC","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2012","AMR","NIC","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2013","AMR","NIC","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2014","AMR","NIC","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2015","AMR","NIC","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2016","AMR","NIC","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2017","AMR","NIC","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2018","AMR","NIC","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2019","AMR","NIC","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2020","AMR","NIC","92","92.00000","","","","",""
"WHS4_100","PUBLISHED","2021","AMR","NIC","87","87.00000","","","","",""
"WHS4_100","PUBLISHED","2022","AMR","NIC","92","92.00000","","","","",""
