"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS4_100","PUBLISHED","2000","AMR","PRY","86","86.00000","","","","",""
"WHS4_100","PUBLISHED","2001","AMR","PRY","89","89.00000","","","","",""
"WHS4_100","PUBLISHED","2002","AMR","PRY","87","87.00000","","","","",""
"WHS4_100","PUBLISHED","2003","AMR","PRY","86","86.00000","","","","",""
"WHS4_100","PUBLISHED","2004","AMR","PRY","92","92.00000","","","","",""
"WHS4_100","PUBLISHED","2005","AMR","PRY","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2006","AMR","PRY","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2007","AMR","PRY","95","95.00000","","","","",""
"WHS4_100","PUBLISHED","2008","AMR","PRY","89","89.00000","","","","",""
"WHS4_100","PUBLISHED","2009","AMR","PRY","86","86.00000","","","","",""
"WHS4_100","PUBLISHED","2010","AMR","PRY","91","91.00000","","","","",""
"WHS4_100","PUBLISHED","2011","AMR","PRY","92","92.00000","","","","",""
"WHS4_100","PUBLISHED","2012","AMR","PRY","91","91.00000","","","","",""
"WHS4_100","PUBLISHED","2013","AMR","PRY","91","91.00000","","","","",""
"WHS4_100","PUBLISHED","2014","AMR","PRY","93","93.00000","","","","",""
"WHS4_100","PUBLISHED","2015","AMR","PRY","92","92.00000","","","","",""
"WHS4_100","PUBLISHED","2016","AMR","PRY","92","92.00000","","","","",""
"WHS4_100","PUBLISHED","2017","AMR","PRY","91","91.00000","","","","",""
"WHS4_100","PUBLISHED","2018","AMR","PRY","88","88.00000","","","","",""
"WHS4_100","PUBLISHED","2019","AMR","PRY","86","86.00000","","","","",""
"WHS4_100","PUBLISHED","2020","AMR","PRY","79","79.00000","","","","",""
"WHS4_100","PUBLISHED","2021","AMR","PRY","70","70.00000","","","","",""
"WHS4_100","PUBLISHED","2022","AMR","PRY","69","69.00000","","","","",""
