"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS4_100","PUBLISHED","2000","AMR","KNA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2001","AMR","KNA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2002","AMR","KNA","97","97.00000","","","","",""
"WHS4_100","PUBLISHED","2003","AMR","KNA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2004","AMR","KNA","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2005","AMR","KNA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2006","AMR","KNA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2007","AMR","KNA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2008","AMR","KNA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2009","AMR","KNA","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2010","AMR","KNA","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2011","AMR","KNA","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2012","AMR","KNA","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2013","AMR","KNA","97","97.00000","","","","",""
"WHS4_100","PUBLISHED","2014","AMR","KNA","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2015","AMR","KNA","94","94.00000","","","","",""
"WHS4_100","PUBLISHED","2016","AMR","KNA","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2017","AMR","KNA","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2018","AMR","KNA","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2019","AMR","KNA","97","97.00000","","","","",""
"WHS4_100","PUBLISHED","2020","AMR","KNA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2021","AMR","KNA","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2022","AMR","KNA","96","96.00000","","","","",""
