"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS4_100","PUBLISHED","2000","AMR","LCA","70","70.00000","","","","",""
"WHS4_100","PUBLISHED","2001","AMR","LCA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2002","AMR","LCA","74","74.00000","","","","",""
"WHS4_100","PUBLISHED","2003","AMR","LCA","90","90.00000","","","","",""
"WHS4_100","PUBLISHED","2004","AMR","LCA","91","91.00000","","","","",""
"WHS4_100","PUBLISHED","2005","AMR","LCA","95","95.00000","","","","",""
"WHS4_100","PUBLISHED","2006","AMR","LCA","85","85.00000","","","","",""
"WHS4_100","PUBLISHED","2007","AMR","LCA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2008","AMR","LCA","96","96.00000","","","","",""
"WHS4_100","PUBLISHED","2009","AMR","LCA","95","95.00000","","","","",""
"WHS4_100","PUBLISHED","2010","AMR","LCA","97","97.00000","","","","",""
"WHS4_100","PUBLISHED","2011","AMR","LCA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2012","AMR","LCA","98","98.00000","","","","",""
"WHS4_100","PUBLISHED","2013","AMR","LCA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2014","AMR","LCA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2015","AMR","LCA","99","99.00000","","","","",""
"WHS4_100","PUBLISHED","2016","AMR","LCA","95","95.00000","","","","",""
"WHS4_100","PUBLISHED","2017","AMR","LCA","80","80.00000","","","","",""
"WHS4_100","PUBLISHED","2018","AMR","LCA","95","95.00000","","","","",""
"WHS4_100","PUBLISHED","2019","AMR","LCA","92","92.00000","","","","",""
"WHS4_100","PUBLISHED","2020","AMR","LCA","86","86.00000","","","","",""
"WHS4_100","PUBLISHED","2021","AMR","LCA","80","80.00000","","","","",""
"WHS4_100","PUBLISHED","2022","AMR","LCA","81","81.00000","","","","",""
