"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS4_100","PUBLISHED","2000","AMR","SUR","71","71.00000","","","","",""
"WHS4_100","PUBLISHED","2001","AMR","SUR","68","68.00000","","","","",""
"WHS4_100","PUBLISHED","2002","AMR","SUR","73","73.00000","","","","",""
"WHS4_100","PUBLISHED","2003","AMR","SUR","75","75.00000","","","","",""
"WHS4_100","PUBLISHED","2004","AMR","SUR","85","85.00000","","","","",""
"WHS4_100","PUBLISHED","2005","AMR","SUR","83","83.00000","","","","",""
"WHS4_100","PUBLISHED","2006","AMR","SUR","84","84.00000","","","","",""
"WHS4_100","PUBLISHED","2007","AMR","SUR","84","84.00000","","","","",""
"WHS4_100","PUBLISHED","2008","AMR","SUR","85","85.00000","","","","",""
"WHS4_100","PUBLISHED","2009","AMR","SUR","87","87.00000","","","","",""
"WHS4_100","PUBLISHED","2010","AMR","SUR","94","94.00000","","","","",""
"WHS4_100","PUBLISHED","2011","AMR","SUR","80","80.00000","","","","",""
"WHS4_100","PUBLISHED","2012","AMR","SUR","76","76.00000","","","","",""
"WHS4_100","PUBLISHED","2013","AMR","SUR","76","76.00000","","","","",""
"WHS4_100","PUBLISHED","2014","AMR","SUR","71","71.00000","","","","",""
"WHS4_100","PUBLISHED","2015","AMR","SUR","73","73.00000","","","","",""
"WHS4_100","PUBLISHED","2016","AMR","SUR","77","77.00000","","","","",""
"WHS4_100","PUBLISHED","2017","AMR","SUR","67","67.00000","","","","",""
"WHS4_100","PUBLISHED","2018","AMR","SUR","81","81.00000","","","","",""
"WHS4_100","PUBLISHED","2019","AMR","SUR","77","77.00000","","","","",""
"WHS4_100","PUBLISHED","2020","AMR","SUR","51","51.00000","","","","",""
"WHS4_100","PUBLISHED","2021","AMR","SUR","72","72.00000","","","","",""
"WHS4_100","PUBLISHED","2022","AMR","SUR","77","77.00000","","","","",""
