"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS4_100","PUBLISHED","2000","AMR","VEN","77","77.00000","","","","",""
"WHS4_100","PUBLISHED","2001","AMR","VEN","70","70.00000","","","","",""
"WHS4_100","PUBLISHED","2002","AMR","VEN","65","65.00000","","","","",""
"WHS4_100","PUBLISHED","2003","AMR","VEN","68","68.00000","","","","",""
"WHS4_100","PUBLISHED","2004","AMR","VEN","86","86.00000","","","","",""
"WHS4_100","PUBLISHED","2005","AMR","VEN","87","87.00000","","","","",""
"WHS4_100","PUBLISHED","2006","AMR","VEN","71","71.00000","","","","",""
"WHS4_100","PUBLISHED","2007","AMR","VEN","62","62.00000","","","","",""
"WHS4_100","PUBLISHED","2008","AMR","VEN","50","50.00000","","","","",""
"WHS4_100","PUBLISHED","2009","AMR","VEN","84","84.00000","","","","",""
"WHS4_100","PUBLISHED","2010","AMR","VEN","78","78.00000","","","","",""
"WHS4_100","PUBLISHED","2011","AMR","VEN","78","78.00000","","","","",""
"WHS4_100","PUBLISHED","2012","AMR","VEN","81","81.00000","","","","",""
"WHS4_100","PUBLISHED","2013","AMR","VEN","82","82.00000","","","","",""
"WHS4_100","PUBLISHED","2014","AMR","VEN","78","78.00000","","","","",""
"WHS4_100","PUBLISHED","2015","AMR","VEN","87","87.00000","","","","",""
"WHS4_100","PUBLISHED","2016","AMR","VEN","84","84.00000","","","","",""
"WHS4_100","PUBLISHED","2017","AMR","VEN","66","66.00000","","","","",""
"WHS4_100","PUBLISHED","2018","AMR","VEN","60","60.00000","","","","",""
"WHS4_100","PUBLISHED","2019","AMR","VEN","64","64.00000","","","","",""
"WHS4_100","PUBLISHED","2020","AMR","VEN","54","54.00000","","","","",""
"WHS4_100","PUBLISHED","2021","AMR","VEN","56","56.00000","","","","",""
"WHS4_100","PUBLISHED","2022","AMR","VEN","56","56.00000","","","","",""
